在2014年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。	在二零一四年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。
而5号副官呢5号副官他是个叛徒，他胡说八道，所以他给的不一定是什么，我写成a。	而五号副官呢五号副官他是个叛徒，他胡说八道，所以他给的不一定是什么，我写成a。
6号副官也是个叛徒，他也不一定说什么，他可能会说2号说他接受他的命令是撤退。	六号副官也是个叛徒，他也不一定说什么，他可能会说二号说他接受他的命令是撤退。
2号3号4号都是忠诚的，他自然会如实的说。	二号三号四号都是忠诚的，他自然会如实的说。
所以综上所述，3号副官也受到了进攻命令，4号副官跟之前的一样。	所以综上所述，三号副官也受到了进攻命令，四号副官跟之前的一样。
对不对？5号6号又是胡说八道，胡说八道。	对不对？五号六号又是胡说八道，胡说八道。
是吧？5号副官接到的是什么命令，呢因为他是一个。这个	是吧？五号副官接到的是什么命令，呢因为他是一个。这个
最后我们并不清楚5号副官判断出来之后他得到的命令是什么，所以我称他为x。	最后我们并不清楚五号副官判断出来之后他得到的命令是什么，所以我称他为x。
可能最后的结果呢这 x还是撤退也说不定，6号副官也是一样。	可能最后的结果呢这 x还是撤退也说不定，六号副官也是一样。
2号3号4号都是a5号6号甭管是什么，最终我们在这个向量里边我们取最大的有4个进攻。	二号三号四号都是a五号六号甭管是什么，最终我们在这个向量里边我们取最大的有四个进攻。
除了一号副官以外，234也是一样的，最终的结果。就是	除了一号副官以外，两百三十四也是一样的，最终的结果。就是
1234这4个副官会选择进攻。这样一来第一条他们。	一百二十三四这四个副官会选择进攻。这样一来第一条他们。
在99年的时候，呢有几个人呢提出了一种更加简洁的。	在九九年的时候，呢有几个人呢提出了一种更加简洁的。
这样一来这样一来这三个要撤退的将近就会收到4票撤退，对不对？	这样一来这样一来这三个要撤退的将近就会收到四票撤退，对不对？
这个事儿就称之为拜占庭将军问题。	这个事就称之为拜占庭将军问题。
那么这个问题呢发展了将近40年的时间，现在有很多种解决办法。	那么这个问题呢发展了将近四十年的时间，现在有很多种解决办法。
比如说在82年兰博特提出这个问题的时候，就自己给出了两种解决方法。	比如说在八二年兰博特提出这个问题的时候，就自己给出了两种解决方法。
它的首都是军事坦丁堡，但是1453年军事坦丁堡沦陷了之后，呢这个帝国也就灭亡了。	它的首都是军事坦丁堡，但是一千四百五十三年军事坦丁堡沦陷了之后，呢这个帝国也就灭亡了。
或者说总的计算机节点数，那么当n大于3m的时候。	或者说总的计算机节点数，那么当n大于三m的时候。
他是在1982年的时候，由这个著名的计算机大神兰博特。	他是在一九八二年的时候，由这个著名的计算机大神兰博特。
比如说有10个将军，其中有2个是恶意的将军是叛徒，那这个问题我们是可解的，不管哪2个是。	比如说有十个将军，其中有二个是恶意的将军是叛徒，那这个问题我们是可解的，不管哪二个是。
比如说我们就说，m等于1，有一个叛徒，而n=3。	比如说我们就说，m等于一，有一个叛徒，而n=三。
这两个副官叫1和二，但是呢这个二他是个叛徒叛徒。	这两个副官叫一和二，但是呢这个二他是个叛徒叛徒。
因为20个叛徒，所以他接到的是进攻命令，他非得告诉一我接到的是撤退命令。	因为二十个叛徒，所以他接到的是进攻命令，他非得告诉一我接到的是撤退命令。
这个时候1和二就会互通，一告诉二我知道的是进攻命令。	这个时候一和二就会互通，一告诉二我知道的是进攻命令。
但是如果n要是大于3m呢，这个问题就可以解。我们来举个例子。	但是如果n要是大于三m呢，这个问题就可以解。我们来举个例子。
不满足大于3m这个条件问题就不可解。	不满足大于三m这个条件问题就不可解。
比如说m=1，而n=4这种情况。	比如说m=一，而n=四这种情况。
123这三个副官发命令。	一百二十三这三个副官发命令。
有同学说他最近看了一部电影叫做决胜21点。	有同学说他最近看了一部电影叫做决胜二十一点。
比如说吧你指定的就是这个门这个门里边本来就有汽车主持人也知道这事儿。	比如说吧你指定的就是这个门这个门里边本来就有汽车主持人也知道这事。
所以中奖的概率就是1/3，这就是你不改变决策。	所以中奖的概率就是三分之一，这就是你不改变决策。
你就会换一个指向指到这儿，所以呢你就换到这儿了就换。	你就会换一个指向指到这，所以呢你就换到这了就换。
换到这儿换到这儿成功还是失败失败了，因为你本来指的就是成功的，结果你一换失败了，对不对？	换到这换到这成功还是失败失败了，因为你本来指的就是成功的，结果你一换失败了，对不对？
2/3，因此呢你应该改变决策。	三分之二，因此呢你应该改变决策。
初次认定的时候，你中奖的概率其实只有1/3，而不中的概率是2/3，对吧？是这样的。	初次认定的时候，你中奖的概率其实只有三分之一，而不中的概率是三分之二，对吧？是这样的。
一旦改过来的话，这个中奖概率1/3就变成不中奖了。	一旦改过来的话，这个中奖概率三分之一就变成不中奖了。
对吧？这个不中奖的2/3就变成了中奖了。	对吧？这个不中奖的三分之二就变成了中奖了。
那这样就会造成你的呼吸不畅。于是呢在1928年的时候。	那这样就会造成你的呼吸不畅。于是呢在一九二八年的时候。
1928年的时候，有有一个人他就发明了一种这个呼吸机，这种呼吸机我们称之为铁肺。	一九二八年的时候，有有一个人他就发明了一种这个呼吸机，这种呼吸机我们称之为铁肺。
对吧？一直到1950年左右，美国大面积爆发脊髓灰质炎的时候。	对吧？一直到一九五零年左右，美国大面积爆发脊髓灰质炎的时候。
那么在睡觉的时候，它的这个通气的这个管道是吧，从鼻子或者从嘴这儿唉过来。	那么在睡觉的时候，它的这个通气的这个管道是吧，从鼻子或者从嘴这唉过来。
就是我呀在这儿给你加一个面罩，罩住鼻子或者罩住罩住口鼻。	就是我呀在这给你加一个面罩，罩住鼻子或者罩住罩住口鼻。
然后我在这儿呢连一个管道唉我在这儿加一个呼吸机。	然后我在这呢连一个管道唉我在这加一个呼吸机。
新冠肺炎呢在全世界已经造成了200万以上的人感染。	新冠肺炎呢在全世界已经造成了两百万以上的人感染。
塞到他气管的中间，然后呢在这儿让他膨胀一下。	塞到他气管的中间，然后呢在这让他膨胀一下。
那还有一种方法呢就是这个人呢怎么着，就是我们不要从嘴这儿插管了，从嘴这儿插管不舒服怎么办？	那还有一种方法呢就是这个人呢怎么着，就是我们不要从嘴这插管了，从嘴这插管不舒服怎么办？
有小朋友就问我说呢这个呼吸机到底是什么玩意儿呢？	有小朋友就问我说呢这个呼吸机到底是什么玩意呢？
其实、呼吸机这个东西呢已经发明了100来年了。	其实、呼吸机这个东西呢已经发明了一百来年了。
到1000多毫克，我们中国一般是建议每一，个人每天都应该至少。	到一千多毫克，我们中国一般是建议每一，个人每天都应该至少。
摄取800毫克的钙，那么800毫克的钙怎么摄取呢最好的一种方法？	摄取八百毫克的钙，那么八百毫克的钙怎么摄取呢最好的一种方法？
每100毫升的牛奶含钙含多少呢含？	每一百毫升的牛奶含钙含多少呢含？
125毫克的钙，所以我们可以大概算一下，假如我们每天能够喝500毫升的牛奶，也就是。	一百二十五毫克的钙，所以我们可以大概算一下，假如我们每天能够喝五百毫升的牛奶，也就是。
